InputVoltage BandgapControl RampGain ADCvalue
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 495
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 488
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 490
0.896074 10 3 490
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 490
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 490
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 495
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 491
0.896074 10 3 488
0.896074 10 3 491
0.896074 10 3 491
