InputVoltage BandgapControl RampGain ADCvalue
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 431
0.597383 10 3 428
0.597383 10 3 431
0.597383 10 3 429
0.597383 10 3 429
0.597383 10 3 428
0.597383 10 3 429
0.597383 10 3 429
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 428
0.597383 10 3 431
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 429
0.597383 10 3 428
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 431
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 427
0.597383 10 3 431
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 431
0.597383 10 3 427
0.597383 10 3 428
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 427
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 429
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 429
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 431
0.597383 10 3 431
0.597383 10 3 431
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 429
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 429
0.597383 10 3 427
0.597383 10 3 429
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 431
0.597383 10 3 424
0.597383 10 3 431
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 431
0.597383 10 3 424
0.597383 10 3 424
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 431
0.597383 10 3 426
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 428
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 429
0.597383 10 3 428
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 431
0.597383 10 3 427
0.597383 10 3 431
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 426
0.597383 10 3 427
0.597383 10 3 431
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 426
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 428
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 426
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 426
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 426
0.597383 10 3 426
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 426
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 427
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 424
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 428
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 431
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 431
0.597383 10 3 431
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 429
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 431
0.597383 10 3 431
0.597383 10 3 426
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 429
0.597383 10 3 429
0.597383 10 3 429
0.597383 10 3 424
0.597383 10 3 431
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 431
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 429
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 431
0.597383 10 3 428
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 431
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 428
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 431
0.597383 10 3 427
0.597383 10 3 431
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 428
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 431
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 428
0.597383 10 3 431
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 429
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 428
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 426
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 431
0.597383 10 3 428
0.597383 10 3 427
0.597383 10 3 426
0.597383 10 3 426
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 424
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 431
0.597383 10 3 427
0.597383 10 3 431
0.597383 10 3 427
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 429
0.597383 10 3 428
0.597383 10 3 427
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 428
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 431
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 424
0.597383 10 3 424
0.597383 10 3 429
0.597383 10 3 431
0.597383 10 3 428
0.597383 10 3 427
0.597383 10 3 431
0.597383 10 3 428
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 431
0.597383 10 3 428
0.597383 10 3 431
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 431
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 431
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 429
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 429
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 429
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 431
0.597383 10 3 427
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 431
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 429
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 429
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 431
0.597383 10 3 427
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 431
0.597383 10 3 428
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 431
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 429
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 431
0.597383 10 3 429
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 431
0.597383 10 3 427
0.597383 10 3 428
0.597383 10 3 426
0.597383 10 3 431
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 429
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 431
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 427
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 429
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 429
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 429
0.597383 10 3 429
0.597383 10 3 429
0.597383 10 3 429
0.597383 10 3 431
0.597383 10 3 428
0.597383 10 3 429
0.597383 10 3 428
0.597383 10 3 429
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 429
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 427
0.597383 10 3 431
0.597383 10 3 424
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 426
0.597383 10 3 427
0.597383 10 3 426
0.597383 10 3 426
0.597383 10 3 427
0.597383 10 3 426
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 431
0.597383 10 3 431
0.597383 10 3 431
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 428
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 428
0.597383 10 3 424
0.597383 10 3 424
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 427
0.597383 10 3 424
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 429
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 428
0.597383 10 3 431
0.597383 10 3 424
0.597383 10 3 428
