InputVoltage BandgapControl RampGain ADCvalue
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 473
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
0.896074 10 3 472
