InputVoltage BandgapControl RampGain ADCvalue
0 0 0 18
0.0102026 0 0 23
0.0201138 0 0 28
0.0300249 0 0 33
0.0402275 0 0 39
0.0501387 0 0 44
0.0600498 0 0 49
0.0702524 0 0 54
0.0801636 0 0 60
0.0900747 0 0 65
0.100277 0 0 70
0.110188 0 0 76
0.1201 0 0 81
0.130011 0 0 86
0.140213 0 0 92
0.150125 0 0 97
0.160036 0 0 102
0.170238 0 0 108
0.180149 0 0 113
0.190061 0 0 119
0.200263 0 0 124
0.210174 0 0 129
0.220085 0 0 135
0.230288 0 0 140
0.240199 0 0 145
0.25011 0 0 151
0.260021 0 0 156
0.270224 0 0 161
0.280135 0 0 167
0.290046 0 0 172
0.300249 0 0 177
0.31016 0 0 182
0.320071 0 0 188
0.330274 0 0 193
0.340185 0 0 198
0.350096 0 0 203
0.360007 0 0 208
0.37021 0 0 213
0.380121 0 0 218
0.390032 0 0 224
0.400235 0 0 229
0.410146 0 0 234
0.420057 0 0 239
0.43026 0 0 245
0.440171 0 0 250
0.450082 0 0 255
0.460285 0 0 260
0.470196 0 0 266
0.480107 0 0 271
0.490018 0 0 276
0.500221 0 0 281
0.510132 0 0 287
0.520043 0 0 292
0.530246 0 0 297
0.540157 0 0 303
0.550068 0 0 308
0.560271 0 0 313
0.570182 0 0 319
0.580093 0 0 324
0.590004 0 0 330
0.600207 0 0 335
0.610118 0 0 340
0.620029 0 0 346
0.630231 0 0 351
0.640143 0 0 356
0.650054 0 0 362
0.660256 0 0 367
0.670167 0 0 373
0.680079 0 0 378
0.690281 0 0 383
0.700192 0 0 389
0.710104 0 0 394
0.720015 0 0 399
0.730217 0 0 405
0.740128 0 0 410
0.75004 0 0 416
0.760242 0 0 421
0.770153 0 0 426
0.780064 0 0 432
0.790267 0 0 437
0.800178 0 0 442
0.810089 0 0 448
0.82 0 0 453
0.830203 0 0 458
0.840114 0 0 464
0.850025 0 0 469
0.860228 0 0 475
0.870139 0 0 480
0.88005 0 0 485
0.890253 0 0 491
0.900164 0 0 496
0.910075 0 0 501
0.920278 0 0 507
0.930189 0 0 512
0.9401 0 0 517
0.950011 0 0 522
0.960214 0 0 528
0.970125 0 0 533
0.980036 0 0 538
0.990239 0 0 543
1.00015 0 0 549
1.01006 0 0 554
1.02026 0 0 560
1.03017 0 0 565
1.04009 0 0 570
1.05029 0 0 576
1.0602 0 0 581
1.07011 0 0 586
1.08002 0 0 591
1.09022 0 0 597
1.10014 0 0 602
1.11005 0 0 607
1.12025 0 0 613
