InputVoltage BandgapControl RampGain ADCvalue
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 465
0.597 10 3 465
0.597 10 3 465
0.597 10 3 466
0.597 10 3 465
0.597 10 3 465
0.597 10 3 465
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 465
0.597 10 3 465
0.597 10 3 465
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 465
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 465
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 465
0.597 10 3 465
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 465
0.597 10 3 465
0.597 10 3 465
0.597 10 3 465
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 465
0.597 10 3 466
0.597 10 3 465
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 465
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 465
0.597 10 3 465
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 465
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 465
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 465
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 465
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 465
0.597 10 3 465
0.597 10 3 466
0.597 10 3 465
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 465
0.597 10 3 465
0.597 10 3 465
0.597 10 3 466
0.597 10 3 465
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 465
0.597 10 3 465
0.597 10 3 466
0.597 10 3 465
0.597 10 3 465
0.597 10 3 465
0.597 10 3 465
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 465
0.597 10 3 465
0.597 10 3 465
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 465
0.597 10 3 466
0.597 10 3 465
0.597 10 3 465
0.597 10 3 465
0.597 10 3 465
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 465
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 465
0.597 10 3 465
0.597 10 3 466
0.597 10 3 466
0.597 10 3 465
0.597 10 3 466
0.597 10 3 465
