InputVoltage BandgapControl RampGain ADCvalue
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 515
0.896074 10 3 515
0.896074 10 3 515
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
0.896074 10 3 514
