InputVoltage BandgapControl RampGain ADCvalue
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 495
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 494
0.896074 10 3 495
0.896074 10 3 494
