InputVoltage BandgapControl RampGain ADCvalue
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 491
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
0.597 10 3 490
