InputVoltage BandgapControl RampGain ADCvalue
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 529
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 529
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 529
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 531
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 529
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
0.597383 10 3 530
