InputVoltage BandgapControl RampGain ADCvalue
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 504
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 504
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 504
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 504
0.597 10 3 504
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 504
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 502
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 504
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 504
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 504
0.597 10 3 504
0.597 10 3 504
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 503
0.597 10 3 504
