InputVoltage BandgapControl RampGain ADCvalue
0.597 10 3 543
0.597 10 3 543
0.597 10 3 544
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 544
0.597 10 3 544
0.597 10 3 543
0.597 10 3 544
0.597 10 3 543
0.597 10 3 544
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 544
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 544
0.597 10 3 543
0.597 10 3 542
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 544
0.597 10 3 543
0.597 10 3 543
0.597 10 3 542
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 542
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 542
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 542
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 544
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 542
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 542
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 544
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 544
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 542
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 544
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 544
0.597 10 3 544
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 544
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 542
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 544
0.597 10 3 543
0.597 10 3 542
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 542
0.597 10 3 543
0.597 10 3 543
0.597 10 3 544
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 544
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 544
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 542
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 542
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 544
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 544
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 544
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 544
0.597 10 3 542
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 542
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 542
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 544
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 542
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 542
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 542
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 544
0.597 10 3 542
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 542
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 542
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 544
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 542
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 544
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 542
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
0.597 10 3 542
0.597 10 3 543
0.597 10 3 543
0.597 10 3 543
